"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
4584,"AL0026","",1,"Privado","Braskem","MARECHAL DEODORO","AL","Brasil","","","09°40'37,0""S","035°49'43,0""W","84 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
4620,"MT0091","SIEM",1,"Privado","Fazenda Encantado","SAPEZAL","MT","Brasil","","","13°19'00,0""S","058°47'54,0""W","534 m","VFR","Sem Operação",2658,"18/36","1000 m","18 m","4100 Kg /   0,50 MPa","Cascalho","","18 - ; 36 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","28/11/2024","https://pergamum.anac.gov.br/arquivos/PA2014-2832.pdf"," ","","sim"
4656,"AM0070","",1,"Privado","Rio Cuiuní","BARCELOS","AM","Brasil","","","01°01'25,0""S","063°47'42,0""W","30 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","sim"
4728,"MT0485","SJCZ",1,"Privado","Fazenda Cascata","IPIRANGA DO NORTE","MT","Brasil","","","11°37'46,0""S","055°54'18,0""W","370 m","VFR","Sem Operação",7262,"02/20","1300 m","20 m","8/F/B/Y/U","Asfalto","","02 - Visual; 20 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","26/05/2030","https://pergamum.anac.gov.br/arquivos/PA2020-1281.pdf"," ","","sim"
14030,"MT0820","",1,"Privado","Fazenda Paraíso","NOVA UBIRATÃ","MT","Brasil","","","12°25'45,0""S","054°14'57,0""W","353 m","VFR","Sem Operação",18085,"07/25","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","07 - ; 25 - ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","20/04/2032","https://pergamum.anac.gov.br/arquivos/PA2022-7730.pdf"," ","","sim"
5659,"RJ0287","",1,"Privado","Costa do Peró III","CABO FRIO","RJ","Brasil","","","22°50'29,0""S","041°59'05,6""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
8622,"SP1336","",1,"Privado","VILA  PIX","CAMPOS DO JORDÃO","SP","Brasil","","","22°46'32,0""S","045°39'27,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","30/11/2031","https://pergamum.anac.gov.br/arquivos/PA2021-6480.pdf"," ","","não"
7970,"BA0371","",1,"Privado","Fazenda Novo México","JABORANDI","BA","Brasil","","","14°05'31,0""S","045°43'52,0""W","861 m","VFR","Sem Operação",12081,"08/26","1500 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","08 - Visual; 26 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","26/03/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4519.pdf"," ","","não"
89,"MA0008","SSRS",2,"Público","Barreirinhas","BARREIRINHAS","MA","Brasil","Barreirinhas","MA","02°45'24,0""S","042°48'12,0""W","12 m","VFR","",829,"11/29","1500 m","30 m","71/F/A/Y/T","Asfalto","","11 - Visual; 29 - Visual",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"RBAC 135 Regular","AP-1","","","não","","28/06/2033","https://pergamum.anac.gov.br/arquivos/PA2023-11665.pdf"," ","","não"
7825,"MT0696","",1,"Privado","Fazenda Chapadão","PEIXOTO DE AZEVEDO","MT","Brasil","","","09°56'01,0""S","053°46'02,0""W","346 m","VFR","Sem Operação",11453,"04/22","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","04 - Visual; 22 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","25/02/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4168.pdf"," ","","sim"
